,5.8 I,6.0 I,6.1 I
Qiqi,0.03009735606818123,0.03271711417044374,0.04275421341736895
Raiden Shogun,0.14000386103120135,0.1291194068689017,0.109554943959122
Razor,,,0.013706540777239377
Rosaria,0.09473902586778007,0.050916167089588106,0.07929317002313875
Sangonomiya Kokomi,0.12969652861665806,0.14230460292150665,0.11990515032767435
Sayu,0.022557867930310765,0.019048758398422756,0.014116844361438468
Sethos,0.009309777054978914,0.00741362991066816,
Shenhe,0.10439390178001487,0.10504813833272339,0.09372986871206265
Shikanoin Heizou,0.020205083708998362,0.008473992422415115,0.026584498228651852
Sigewinne,0.11270201880751121,0.11266750838665616,0.1105108730219815
Skirk,0.09711006716131391,0.13359812684273245,0.09474024727263465
Sucrose,0.12920282434694882,0.09541954079380191,0.1157236161121702
Tartaglia,0.09870225814193061,0.1068607939075737,0.07610331936857756
Thoma,0.07561644746605216,0.046644295857053174,0.10878026299221662
Tighnari,0.04925624858871254,0.09887512823087329,0.07201796482272049
Varesa,0.11699757178108375,0.12764340158694776,0.09424280354405307
Venti,0.051730310735312576,0.025783176973452827,0.05601947814235711
Wanderer,0.05935763377502101,0.08675141142530479,0.06924592004618069
Wriothesley,0.10461493787706273,0.11850121041362455,0.10859427736444657
Xiangling,0.146157876860378,0.12675670992508833,0.1500664529727633
Xianyun,0.11089137735529457,0.10373253056381879,0.09477801343718228
Xiao,0.05046087738266987,0.051198521941094706,0.0269062030275649
Xilonen,0.17894133763433342,0.16192705838095192,0.15984948018981862
Xingqiu,0.1523142841503626,0.15488609748907523,0.14968731701247928
Xinyan,0.0169350536132407,,0.03314877947838382
Yae Miko,0.13034678411662373,0.12380146294152422,0.10309357391264896
Yanfei,0.07803646774958287,0.055257690525454595,0.1058034200804305
Yaoyao,0.07495543357126665,0.11107109247179124,0.10125434789219909
Yelan,0.16023432028226486,0.15886116498724803,0.1543118621720088
Yoimiya,0.07707322812507934,0.08366917828292245,0.09784610229724298
Yumemizuki Mizuki,0.041893332499344925,0.05121684122142993,0.027095617608147833
Yun Jin,0.02811939289513293,0.02253258096161822,0.036342519941814574
Zhongli,0.15573810235249907,0.128885942367065,0.15855394099690173
=======
Aino,,0.019700223012612726,0.07044626452317627
Albedo,,6.738065925136931e-05,0.00026660771223898115
Alhaitham,0.0007070965414659194,0.033468698965850315,0.0010233316433804868
Aloy,0.00013278401961598404,2.4595673020587087e-05,0.00013818668811623096
Amber,0.0002010787730670151,5.1836200997294536e-05,0.0032172720736633174
Arataki Itto,0.00017021829162656532,0.0004355091178020622,0.0005074779387833253
Arlecchino,0.06213844691321444,0.03310247943421181,0.306639168575167
Baizhu,0.004005250923728433,0.025623196075717246,0.0089526853884701
Barbara,0.0032426200882128614,0.022148002108157525,0.0024102195021771192
Beidou,0.0005988241934037521,0.00021496319522009284,0.0005873367382343359
Bennett,0.4302869840972166,0.09224545371750786,0.47182408580966
Candace,0.0008912057051505575,0.0006270521847019803,0.00019254076367362143
Charlotte,0.03370141463756205,0.005167765695262499,0.011469332408435451
Chasca,0.145820584421873,0.03791768579722758,0.039414048354340356
Chevreuse,0.03904588908461597,0.020662248386682885,0.05658754024180345
Chiori,0.007695283419597403,0.008190392532811447,0.009155842103951897
Chongyun,0.0016520970926408366,0.0003494478198208353,0.0038773705255202642
Citlali,0.4416312860076867,0.1681326264113617,0.4207240432317612
Clorinde,0.013277919656332867,0.023037576543165135,0.009700731099838012
Collei,0.0001598263530058796,0.013223101268872165,0.0010788996841001217
Cyno,0.0011159945187478016,0.0021302195637338322,0.0006642758543448867
Dahlia,0.01253844700197682,0.0074112074377663765,0.010931632669532646
Dehya,0.004882029377406489,0.00025254118398192107,0.005623691321703609
Diluc,0.0002055730203838195,0.00011107184334657172,0.0008838547451335082
Diona,0.011329581018308596,0.000793546261020957,0.013928617414192889
Dori,,6.202802557901072e-05,0.0004053214947454843
Emilie,0.0380505062532665,0.006788600803669195,0.011929463185148868
Escoffier,0.16692560372612303,0.14481849704312977,0.12645298401899632
Eula,0.00024066440495400782,0.00029034984250807857,0.00030661865209096893
Faruzan,0.0020528110722622104,0.0014143089464151559,0.004189220979267987
Fischl,0.037135272786179015,0.05359167618214374,0.03894325965542124
Flins,,,0.05271107985463754
Freminet,,,9.7846748494267e-05
Furina,0.2280242220731481,0.3022286435678595,0.20770816945877932
Gaming,0.002892308258590945,0.0002432037891710269,0.0013927060772218301
Ganyu,0.012318754924409332,0.003391076136563652,0.007226697277698912
Gorou,0.0007792256504390784,0.00034052955005837586,0.002290258674519244
Hu Tao,0.005693268971082682,0.012521075647125783,0.014953772761193793
Iansan,0.08580378447243939,0.04306801155708525,0.05873342295882777
Ifa,0.000519882735029859,0.000561281815668224,8.574145095111776e-05
Ineffa,0.08112619286664348,0.11904298880591593,0.07711997616649781
Jean,0.01177386680242373,0.005893169357068753,0.005427902082973998
Kachina,0.0012654356531566087,0.00021359700419985557,0.0007833800540075952
Kaedehara Kazuha,0.15756651629669785,0.1217183723447104,0.18986710071300306
Kaeya,0.0019094542180380443,0.00013428565414522916,0.0011449325071775439
Kamisato Ayaka,0.025449043535541144,0.009296880904256037,0.06762555990799651
Kamisato Ayato,0.0021700159948999883,0.011519611182834321,0.0015579781006804458
Kaveh,4.27808795830116e-05,0.0013636647738491344,3.754730263287729e-05
Keqing,0.0024746403070018135,0.0038351713667658578,0.0013298362513467993
Kinich,0.05557063171872406,0.013505766515000265,0.017911801763332645
Kirara,0.00037295129086425965,0.0026018034746199963,0.0011566136274872593
Klee,0.001497968427974894,0.0005028451907439227,0.004930846822829864
Kujou Sara,0.004408950097225707,0.002439249357154666,0.0023106413013947074
Kuki Shinobu,0.04698698320359393,0.34981447831959517,0.015283120692014969
Lan Yan,0.00381009256067614,0.0012788364511755919,0.039902025161278214
Lauma,,0.3073918663150094,0.05398641932818059
Layla,0.015572950095254121,0.0014945474842184504,0.009653182817861023
Lisa,0.00045390544530858243,9.523609198919753e-05,
Lynette,0.000498966965596239,0.00013982292789917292,0.0002704987541479391
Lyney,0.0025852146166160444,0.0005451071141376948,0.0020812594242538484
Mavuika,0.4455552827937837,0.16876209240320142,0.3472894814680449
Mika,0.0005714316586013432,0.000357489444438022,0.0007721312981189967
Mona,0.029032511941857082,0.033112900892879944,0.028690851679731837
Mualani,0.04807867544986322,0.057080629529218205,0.021972960339419624
Nahida,0.024928508244407004,0.44393700844843753,0.06316065174900744
Navia,0.00331654941205284,0.012154173499349453,0.006197420921864305
Nefer,,,0.04010346980382591
Neuvillette,0.16056460515958,0.2501190882395872,0.11125294513388853
Nilou,0.003505651268341193,0.1873118464357839,0.011487442217274175
Ningguang,0.00012106542923872198,9.29387420662191e-06,0.0001371447390841247
Noelle,4.1740747092721804e-05,0.0002772997735532455,0.0003824407481491123
Ororon,0.09410290241065583,0.02445578116386427,0.017210501710240928
Qiqi,0.0004705997017974329,0.0001312060032241065,0.0005249537699649928
Raiden Shogun,0.074934512436174,0.05464566885798623,0.011464549381829033
Razor,,,7.733014643029983e-05
Rosaria,0.007881772678587442,0.0005978674952192164,0.004003271744989146
Sangonomiya Kokomi,0.020083273912627625,0.14609669248545995,0.01091771533176147
Sayu,0.0001350853443466635,5.6669462022060376e-05,3.940440922955966e-05
Sethos,2.4860959092990393e-05,2.8510079063925667e-05,
Shenhe,0.05197420117240239,0.024398669868106508,0.022783741107191887
Shikanoin Heizou,0.00020978870791850214,4.36060361396309e-05,0.0001713700193152086
Sigewinne,0.006489125300112111,0.005904877100770938,0.00566782945634358
Skirk,0.16365218627303801,0.1574346537055741,0.12421967211375638
Sucrose,0.03237963937434027,0.01121415935897041,0.04091897251818359
Tartaglia,0.005348113001592616,0.0035956401161574276,0.001820390026566318
Thoma,0.004557254584358629,0.00018262013740926505,0.006845171552996305
Tighnari,0.001054894538851765,0.005638100389992509,0.0022885215812491356
Varesa,0.03333698976439225,0.046307681311764354,0.012389928319405824
Venti,0.0004433493888077369,0.00027531142563555543,0.0009036671863397275
Wanderer,0.0017125609806125238,0.0020862823513437996,0.0038132405832271383
Wriothesley,0.008667970442144355,0.007399674769621087,0.0077352659742189155
Xiangling,0.02509256058610567,0.00836885697499057,0.04738831100524427
Xianyun,0.00892629376562587,0.012978231797542516,0.005557908482702343
Xiao,0.0006841233932134174,0.0008797785833025748,0.0008972881486618798
Xilonen,0.3963851427833574,0.21707881598521733,0.4157257636415765
Xingqiu,0.09920309560170795,0.33042725844531823,0.056368077576565555
Xinyan,7.568495958190721e-05,,0.00014110851257771126
Yae Miko,0.012631908701930606,0.02159172733694785,0.007602381634888553
Yanfei,0.002025970741375048,0.0003807979214671178,0.004025192113462083
Yaoyao,0.0036038628216907473,0.015317186486199418,0.009785104491283537
Yelan,0.13116054199117247,0.23511754493435122,0.13186977890251536
Yoimiya,0.001824612600124375,0.0013772587830361662,0.004319795462483435
Yumemizuki Mizuki,0.00045438860424646977,0.0008775562561735135,0.00016512880929890627
Yun Jin,0.00020557465315418168,6.811048883269997e-05,0.0007249557305733569
Zhongli,0.03709363670227785,0.00655123613862808,0.14830965123066017
>>>>>>> 7d66494 (added the csvs)
